abbrev,desc
prov.,provincial
prov.,provincialismo
prov.,provincianismo
prov.,provisão
prov.,provisório
provav.,provavelmente
provb.,provérbio
provç.,provençal
provc.,província
proven.,provençal
provenç.,provençal
provinc.,provincial
prox.,"próximo mense, no próximo mês"
PS,post scriptum
pseud.,pseudônimo
psic. an.,psicologia animal
psic.,psicanálise
psic.,psicologia
psic. soc.,psicologia social
psican.,psicanálise
psicofisl.,psicofisiologia
psicogn.,psicogonia
psicol.,psicologia
psicopat.,psicopatologia
psiq.,psiquiatria
psiquiat.,psiquiatria
Pt,platina
pt,ponto
pto.,precipitado
pts.,pontos
Pu,plutônio
pub.,publicação
public.,publicação
public.,publicidade
pug.,pugilismo
pug.,"pugillus, punhado"
pulv.,"pulvis, pó"
px.t,"pinxit, pintou"
pz,piezo(s) (medida)
Q.,quadra
q,que (internetês)
q.,que
q.,quintal ou quintais (peso)
q.b.,quantidade bastante (em receitas médicas)
q.b.,quanto baste (em culinária)
q.do,quando
Q.E.D.,"quod erat demonstrandum, o que devia ser demonstrado"
q.e.d.,"quod erat demonstrandum, o que se devia demonstrar"
Q.G.,quartel-general
Q.-G.,quartel-general
q.i.d.,"quinquies in die, cinco vezes ao dia"
q.l.,"quantum libet, quanto se queira"
q.p.,"quantum placet, à vontade"
q.s.,"quantum satis, quanto satisfaça"
q.s.i.d.,"quinquies in die, cinco vezes ao dia"
q.ta,quanta
q.to,quanto
q.v.,"quantum vis, quanto queiras"
q.v.,queira ver
q.v.,queira voltar
q.v.,"quod uide (quod vide), o qual se veja"
ql.,quilate(s)
qq.,qualquer quantidade
qq.v.,"quae uide (quuae vide), os quais se vejam"
qtde.,quantidade (internetês)
qual.,qualificativo
qualif.,qualificativo
quant.,quantidade
quant. suff.,"quantum sufficit, quanto baste"
quantit.,quantitativo
quart.,quarteirão
quart.,quartilho(s) (medida)
quest.,questionário
quí.,quíchua
quích.,quíchua
quím. ant.,química antiga
quím. biol.,química biológica
quím. ger.,química geral
quím. ind.,química industrial
quím. org.,química orgânica
quím.,química
quimb.,quimbundo
quinz.,quinzenal
quinzen.,quinzenário
quir.,quiromancia
quirom.,quiromancia
r,ângulo reto
R,resistência
R$,real (moeda)
R&amp;I,"regina et imperatrix, rainha e imperatriz"
R&amp;I,"rex et imperator, rei e imperador"
R.,planta rara
r.,raiz
r.,raro
R.,"recipe, recebe, toma"
r.,reflexo
r.,regência
r.,réis (moeda)
R.,reprovado (classificação escolar)
R.,réu (em linguagem forense)
R.,"rex, regina, rei, rainha"
R.,rua (toponimicamente)
R.ª,rainha
R.e,"recipe, recebe, toma"
R.I.P.,"requiescat in pace, descanse em paz"
R.M.,Reichmarck (moeda)
R.no,reino
R.P.,Reverendo Padre
R.P.M.,Reverendo Padre Mestre
r.p.m.,rotação por minuto
r.p.s.,rotação por segundo
r.s,réis (moeda)
R.S.A.,recomendado a Santo Antônio
R.S.V.P.,"répondez, s’il vous plait, respondei, por favor"
r/c,rés-do-chão
Ra,rádio
rac.,racional
rac.,racismo
racion.,racionalismo
racional.,racionalismo
rad.,radial
rad.,radiano(s)
rad.,radical
rad.,radicalismo
rád.,rádio
rad.,radiograma
rad.,"radix, raiz"
rad/s,radiano(s) por segundo
radical.,radicalismo
radioat.,radioatividade
radiod.,radiodifusão
radiodif.,radiodifusão
radiog.,radiograma
radiogr.,radiografia
radiol.,radiologia
radiot.,radiotécnica
radiot.,radioterapia
radiotec.,radiotecnia
radiotéc.,radiotécnica
radiotécn.,radiotécnica
radioter.,radioterapia
rall.,"rallentando, ficando progressivamente mais vagaroso"
Rb,rubídio
rb,rublo(s) (moeda)
Rd.,rádio (medida)
rdfot,radiofoto(s)
rdlux,radiolux (medida)
Re,rênio
real.,realidade
real.,realismo
realid.,realidade
rec.,receita
rec.º,recurso
rec.º,recebido (comercialmente)
recip.,reciprocidade
recíp.,recíproco
recípr.,recíproca
recípr.,recíproco
red. pop.,redução popular
red.,redução
red.,reduzido
ref.,referência
ref.,referente
ref.,reformado
ref.,reformismo
ref.te,referente
refl.,refletido
refl.,reflexivo
refl.,reflexo
reform.,reformismo
reg.,regência
reg.,região
reg.,regimento
reg.,regional
reg.,registro
reg.,regular
reg.º,registrado
reg.º,regulamento
regim.,regimento
region.,regionalismo
regress.,regressivo
rel.,relatividade
rel.,relativo
rel.,relatório
rel.,religião
relaç.,relação
relat.,relatividade
relat.,relativo
relat.,relatório
relativ.,relatividade
relig.,religião
reloj.,relojoaria
rem.,remo
Rem.te,remetente
rep.,repartição
rep.,reprovado
rep.,república
repart.,repartição
repert.,repertório
report.,reportagem
repúb.,república
res.,reserva (militarmente)
res.,residência
rest.,restrito
restr.,restritivamente
restr.,restritivo
restrit.,restritivo
result.,resultado
ret.,retórica
retór.,retórica
retrosp.,retrospectivo
rev.,reverendo
Rev.,Reverendo
rev.,revista
Rev.a,Reverência
Rev.do,Reverendo
Rev.mo,Reverendíssimo
Rev.o,Reverendo
revers.,reversível
rg.,registro
Rh,"rhodium, ródio"
rib.,ribeira
rib.,ribeirão
rib.,ribeiro
rit.,"ritardando, retardando"
Rn,radônio
rod.,rodésio
rod.,rodovia
rol.,rolandiano
rom.,românico
rom.,romano
rom.,romeno
romn.,romeno
rot.,roteiro
rs,réis (moeda)
Ru,rutênio
rub,rublo(s) (moeda)
rub.,rubrica
rum.,rumeno
rup,rúpia(s) (moeda)
rur.,rural
rur.,ruralismo
rural.,ruralismo
rus.,russo
russ.,russo
rúst.,rústico
s,segundos(s) de tempo
s,sobre (depois da palavra cheque)
S,sul
S,"sulphur, enxofre"
S.,estéreo
S.,Santa
S.,Santo
S.,São
S.,segundo
s.,segundo
s.,substantivo(s)
S.,Sul
s.2g.,substantivo de dois gêneros
s.2g.2n.,substantivo de dois gêneros e dois números
S.A.,sociedade anônima
S.A.,Sua Alteza
S.A.C.,Sua Alteza Cristianíssima
S.A.F.,Sua Alteza Fidelíssima
S.A.I.,Sua Alteza Imperial
S.A.R.,Sua Alteza Real
S.A.R.L.,sociedade anônima de responsabilidade limitada
S.A.S.,Sua Alteza Sereníssima
S.A.t.g.,Santo Antônio te guie
S.B.,"Scientiae Baccalaureus, bacharel de ciência, bacharel em ciência"
S.C.,sentidas condolências
S.Carid.e,Sua Caridade
S.D.,"Scientiae Doctor, doutor de ciência, doutor em ciência"
s.d.,sem data
s.d.,"sine die, sem data marcada"
S.E.,salvo erro
S.E.,Sudeste
S.E.,Sueste
S.E.O.,salvo erro ou omissão
s.e.o.,salvo erro ou omissão
S.Em.a,Sua Eminência
S.Em.as,Suas Eminências
S.Ex.a Rev.ma,Sua Excelência Reverendíssima
S.Ex.a,Sua Excelência
S.Ex.as Rev.mas,Suas Excelências Reverendíssimas
S.Ex.as,Suas Excelências
s.f.,substantivo feminino
s.f.2n.,substantivo feminino de dois números
s.f.f.,se faz favor
s.f.m.,substantivo feminino e masculino
s.f.pl.,substantivo feminino plural
S.G.,Sua Graça
S.G.,Sua Grandeza
S.H.,Sua Honra
S.I.D.,"Scientiae Iuridicae Doctor, doutor de ciência jurídica, doutor em ciência jurídica"
S.I.D.,"sexties in die, seis vezes ao dia"
S.Il.ma,Sua Ilustríssima
S.Il.mas,Suas Ilustríssimas
S.J.D.,"Scientiae Juridicae Doctor, doutor de ciência jurídica, doutor em ciência jurídica"
s.l.,"sine loco, sem lugar"
s.l.n.d.,sem lugar nem data
s.loc.,"suo loco, em seu lugar"
S.M.,"Scientiae Magister, mestre de ciência, mestre em ciência"
S.M.,Sua Majestade
s.m.,substantivo masculino
s.m.2n.,substantivo masculino de dois números
S.M.A.,Sua Majestade Áulica
S.M.F.,Sua Majestade Fidelíssima
s.m.f.,substantivo masculino e feminino
S.M.I.,Sua Majestade Imperial
S.M.J.,salvo melhor juízo
s.m.j.,salvo melhor juízo
s.m.pl.,substantivo masculino plural
s.n.,"sine nomine, sem nome"
s.o,servo
S.O.,Sudoeste
S.O.S.,"save our soul, save our ship, salve nossa alma, salve nosso navio, em apelo de socorro"
S.or,Sênior
S.or,Sóror
S.P.,Santo Padre
S.P.,sentidos pêsames
S.P.,serviço público
s.p.,"sine prole, sem filhos"
S.P.,Sua Paternidade
s.p.,substantivo próprio
s.p.loc.,substantivo próprio locativo
s.p.pers.,substantivo próprio personativo
S.P.Q.R.,"Senatus Populusque Romanus, o Senado e o Povo Romano"
s.r,senhor
S.r,"senior, mais velho"
S.R.,sem residência
s.r.,sem residência
S.R.,serviço da República
S.res,senhores
S.res,senhores
S.res,senhores
S.Rev.a,Sua Reverência
S.Rev.ma,Sua Reverendíssima
S.Rev.mas,Suas Reverendíssimas
S.rta,senhorita
S.S.,"steamer ship, barco a vapor"
S.S.,Sua Santidade
S.S.,Sua Senhoria
S.S.a,Sua Senhoria
S.S.A.A.,Suas Altezas
S.S.as,Suas Senhorias
S.S.E.,Su-Sueste
S.S.O.,Su-Sudoeste
S.S.W.,Su-Sudoeste
S.T.D.,"Sacrae Theologiae Doctor, doutor de teologia sacra, doutor em teologia sacra"
S.T.L.,"Sacrae Theologiae Licentiatus, licenciado de teologia sacra, licenciado em teologia sacra"
S.ta,Santa
S.ta,Santa
S.ta,senhorita
S.to,Santo
S.to,Santo
S.V.,"sede vacante, na vacância da Sé"
S.V.,sotavento
s.v.,"sub uoce (sub voce), sob a voz, sob o verbete"
S.V.P.,"s’il vous plait, por favor"
s.vv.,"sub uocibus (sub vocibus), sob as vozes, sob os verbetes"
S.W.,Sudoeste
s/,sem
s/,"seu, sua, seus, suas"
s/a,seu aceite (comercialmente)
s/c,sua carta (comercialmente)
S/C,sua casa
s/c,sua casa (comercialmente)
s/c,sua conta (comercialmente)
s/d,sem data
s/f,seu favor
s/l n/d,sem lugar nem data
s/l,seu lançamento (comercialmente) e sem local
s/l,sobreloja
s/l,sua letra (comercialmente)
s/o,sua ordem (comercialmente)
S/R,sem residência
s/r,sem residência
sab.,saboaria
sac.,sacerdote
sal.,salina(s)
sal.,salineira(s)
sals.,salsicharia
sân.,sânscrito
sâns.,sânscrito
sânscr.,sânscrito
sap.,sapataria
sapat.,sapataria
Sarg.,Sargento
Sarg.-Aj.,Sargento-Ajudante
Sarg.-Aj.te,Sargento-Ajudante
sát.,sátira(s)
Sb,"stilbium, antimônio"
Sb.,stilb(s) (candela por centímetro quadrado)
Sc,"scandium, escândio"
sc.,"scilicet, a saber, quer dizer"
Sc.B.,"Scientiae Baccalaureus, bacharel de ciências, bacharel em ciências"
Sc.D.,"Scientiae Doctor, doutor de ciência, doutor em ciência"
Sc.I.D.,"Scientiae Iuridicae Doctor, doutor de ciência jurídica, doutor em ciência jurídica"
Sc.J.D.,"Scientiae Juridicae Doctor, doutor de ciência jurídica, doutor em ciência jurídica"
Sc.M.,"Scientiae Magister, mestre de ciência, mestre em ciência"
sc.t,"sculpsit, esculpiu"
Sc.T.D.,"Scientiae Theologicae Licentiatus, licenciado de ciência teológica, licenciado em ciência teológica"
sch.,"schilling(s), xelim ou xelins (moeda)"
scl.t,"sculpsit, esculpiu"
scr.,sânscrito
scrps.t,"scripsit, escreveu"
scul.,"sculpsit, esculpiu"
Se,selênio
SE,Sudoeste
SE,Sueste
sec.,secante
sec.,secretaria
sec.,secretário(a)
sec.,"seculum (sæculum; secula, sæcula), século(s)"
séc.,século
secr.,secretaria
secr.,secretário(a)
sécs.,séculos
sect.,sectarismo
seg,segundo(s)
seg. púb.,segurança pública
seg.,seguinte
seg.,segundo
seg.,seguro(s)
seg. soc.,seguro social
segg.,seguintes
segs.,seguintes
sel.,seleção
sem.,semana(s)
sem.,semântica
sem.,semelhante(s)
sem.,semestre(s)
sem.,seminário
sem.,semítico
semânt.,semântica
semic.,semicantão
semin.,seminário
semiol.,semiologia
semít.,semítico
semit.,semitismo
sen.,seno
sent.,sentença
sent.,sentido
sep.,separado
septent.,septentrional
seq.,"sequens (masculino, feminino ou neutro), seguinte"
seqq.,"sequentes (masculino ou feminino), sequentia (neutro), seguintes"
sér.,sérvio
ser.-cr.,servo-croata
serg.,sergipano
seric.,sericicultura
seric.,sericultura
sericic.,sericicultura
serr.,serralharia
serr.,serralheiro
serralh.,serralharia
serv.,serviço
sço.,serviço
sv.,serviço
sérv.,sérvio
set.,setembro
set.,setentrional
set.o,setembro
setent.,setentrional
sf.,"sforzando, imprimindo progressivamente mais intensidade"
sg.,singular
sh,"shilling(s), xelim ou xelins (moeda)"
sh.tn.,"short ton(s), tonelada(s) curta(s) (medida)"
Si,silício
siam.,siamês
sib.,siberiano
sid.,siderurgia
sider.,siderotécnica
sider.,siderurgia
siderogr.,siderografia
siderotéc.,siderotécnica
sigil.,"sigilografia, esfragística"
sign.,siginificação
sign.,"significa, que significa"
signif.,significante
síl.,sílaba
silog.,silogismo
silv.,silvicultura
silvic.,silvicultura
simb.,simbólico
símb.,símbolo
simb.,simbologia
simból.,simbólica
simbol.,simbolismo
simbol.,simbologia
simpl.,simplesmente
sin. ger.,"sinônimo geral, sinônimos gerais"
sin.,sinaleiro
sin.,sinônimo(s)
sing.,singular
sinon.,sinonímia
sinôn.,sinônimo(s)
sint.,sintaxe
sínt.,síntese
sint.,sintético
sir.,siríaco
sír.,sírio
sist.,sistema
sist.,sistemática
sit.,situado
Sm,samário
Sn,"stagnum, estanho"
Snr.,senhor
Snr.a,senhora
SO,Sudoeste
soc.,sociedade
Soc.,sociedade (comercialmente)
soc.,sociologia
social.,socialismo
sociol.,sociologia
sól.,sólido
son.,sonoplastia
sor.,sorologia
Sór.,sóror
sost.,"sostenuto, sustentado"
sov.,soviético
soviét.,soviético
SOS.,Sinal de perigo
sp.,"species (singular), espécie"
spp.,"species (plural), espécies"
sq.ft.,"square foot (feet), pé(s) quadrado(s)"
sq.in.,"square inch(es), polegada(s) quadrada(s)"
sq.m.,"square mile(s), milha(s) quadrada(s)"
sq.rd.,"square rod(s), vara(s) quadrada(s)"
sq.yd.,"square yard(s), jarda(s) quadrada(s)"
Sr,"strontium, estrôncio"
Sr.,senhor
Sr.,"senior, o mais velho"
Sr.a,senhora
Sr.as,senhoras
Sr.es,senhores
sr.es,senhores
Sr.ta,senhorita
Sres.,senhores
Srv.,servidão (toponimicamente)
SS.,Santíssimo(a)
SS.,Santos
ss.,seguintes
SS.AA.CC.,Suas Altezas Cristianíssimas
SS.AA.FF.,Suas Altezas Fidelíssimas
SS.AA.II.,Suas Altezas Imperiais
SS.AA.RR.,Suas Altezas Reais
SS.AA.SS.,Suas Altezas Sereníssimas
SS.Ex.as,Rev.mas Suas Excelências Reverendíssimas
SS.Ex.as,Suas Excelências
SS.GG.,Suas Graças
SS.GG.,Suas Grandezas
SS.HH.,Suas Honras
SS.Il.mas,Suas Ilustríssimas
SS.MM.,Suas Majestades
SS.MM.AA.,Suas Majestades Áulicas
SS.MM.FF.,Suas Majestades Fidelíssimas
SS.MM.II.,Suas Majestades Imperiais
SS.PP.,Suas Paternidades
SS.Rev.as,Suas Reverências
SS.Rev.mas,Suas Reverendíssimas
SS.S.as,Suas Senhorias
SS.SS.,Suas Santidades
SS.SS.,Suas Senhorias
SSE,Su-Sueste
SSO,Su-Sudoeste
SSW,Su-Sudoeste
st,estéreo(s)
stac.,"staccato, destacado, com parada súbita"
St-Cu,estrato-cúmulo
sth,"sthenos, esteno"
Sto,Santo
Sto.,Santo
sub.,subjuntivo
sub.,subúrbio
subafl.,subafluente
subafls.,subafluentes
Subdiác.,subdiácono
subj.,subjuntivo
subjunt.,subjuntivo
subord.,subordinativa
subst.,"substantivamente, de modo substantivado"
subst.,substantivo
subvar.,subvariante
Suc.,sucessor(es) (comercialmente)
suc.,sucursal
sue.,sueco
suec.,sueco
suf. nom.,sufixo nominal
suf.,sufixal
suf.,sufixo
suf. verb.,sufixo verbal
sul.,sulista
sul-af.,sul-africano
sul-afr.,sul-africano
sul-amer.,sul-americano
sup.,superfície
sup.,superior
sup.,superlativo
sup.,supino
sup.,"supra, acima"
sup.e,suplicante
super.,superioridade
superf.,superfície
superl. abs. sint.,superlativo absoluto sintético
superl.,superlativo
supl.,suplemento
suprf.,superfície
suprl.,superlativo
suprs.,superstição
surr.,surrealismo
surreal.,surrealismo
SV,sotavento
SW,Sudoeste
T,sinal para o farmacêutico transcrever para o rótulo a forma como se deve administrar o remédio
t,tonelada(s)
t,tonelada(s)-força
t*,tonelada(s)-força
t*/m³,tonelada(s)-força por metro cúbico
T.,tara
Tea.,teatro
T.,tempo
T.,termo
t.,termo(s)
t.,tomo(s)
T.,travessa (toponimicamente)
t.c.,transitivo circunstancial
t.d.,e circ.  —  transitivo direto e circunstancial
t.d.,e i.  —  transitivo direto e indireto
t.d.,transitivo direto
t.geogr.,sign.  —  termo geográfico que significa
t.i.,transitivo indireto
t.i.d.,"ter in die, três vezes ao dia"
T.P.,tuberculose pulmonar
T.P.M.,tensão pré-menstrual
T.S.F.,telefonia sem fios
T.S.F.,telegrafia sem fios
T.te C.el,tenente-coronel
t.te c.el,tenente-coronel
T.te,tenente
t.te,tenente
T.te-C.el,tenente-coronel
t.te-c.el,tenente-coronel
t/m³,tonelada por metro cúbico
t/m³,tonelada(s) por metro cúbico
Ta,tantálio
tab.,"fumos, tabacaria"
tab.,tabela
táb.,táboa
tai.,taino
taí.,taíno
tail.,tailandês
tam.,tamul
tâm.,tâmul
tan.,tanoaria
tang.,tangente
tanoar.,tanoaria
taquigr.,taquigrafia
tát.,tática
taur.,tauromaquia
taurom.,tauromaquia
taxid.,taxidermia
Também,térbio
também.,também
Tc,tcnécio
tc,teclar
Te,telúrio
teat.,teatro
teatr.,teatro
tec.,tecelagem
tec.,tecidos
téc.,técnica
tec.,tecnologia
tecna.,tecnologia
tecgo.,tecnólogo
tecel.,tecelagem
técn.,técnica
tecn.,tecnologia
tecnog.,tecnografia
tecnogr.,tecnografia
tecnol.,tecnologia
tect.,tectônico
tel.,telefone
tel.,telefonia
tel.,telegrafista
tel.,telegrama
tele.,telefone
telec.,telecomunicações
telecom.,telecomunicações
telef.,telefone
telef.,telefonia
telef.s.,fios telefonia sem fios
teleg.,telégrafos
telegr.,telegrafia
telégr.,telégrafo
telem.,telemetria
telev.,televisão
temp.,temperatura
temp.,"tempore, no tempo"
temper.,temperatura
Ten.,Tenente
ten.,tenente
Ten.-Cel.,tenente-coronel
ten.-cel.,tenente-coronel
teol.,teologia
teôn.,teônimo
teor.,teorema
teos.,teosofia
tep,- tonelada equivalente de petróleo
ter.,teratologia
terap.,terapêutica
terap.,terapia
terapêut.,terapêutica
terat.,teratologia
teratol.,teratologia
térm.,térmico
term.,terminação
term.,terminologia
termin.,terminologia
terminol.,terminologia
termod.,termodinâmica
termodinâm.,termodinâmica
termom.,termometria
terr.,território
territ.,território
tes.,tesoureiro
test.,testemunha
test.o,testamento
têxt.,"têxtil, têxteis"
tf,tonelada(s)-força (medida)
th,termia
Th,"thorium, tório"
Ti,titânio
tib.,tibetano
tibet.,tibetano
tint.,tintura
tint.,tinturaria
tip.,tipografia
tipogr.,tipografia
tipol.,tipologia
tir.,tiragem
tít.,título
Tl,tálio
Tm,"thulium, túlio"
ton.,tonel ou tonéis
tôn.,tônico
tóp.,tópico
top.,topônimo(s)
top.f.,topônimo feminino
top.f.pl.,topônimo feminino plural
top.m.,topônimo masculino
top.m.f.,topônimo masculino e feminino
top.m.pl.,topônimo masculino plural
topog.,topografia
topogr.,topografia
topol.,topologia
topon.,toponímia
topôn.,topônimo
torp.,torpedeiro
tosc.,toscano
tox.,toxicologia
toxiol.,toxiologia
tr.,transitivo
trab.,trabalho
trabalh.,trabalhismo
trad. bras.,tradução brasileira
trad.,tradução
trad.,traduzido
tradic.,tradicional
tradic.,tradicionalismo
tráf.,tráfego
trans.,transitivamente
trans.,transitivo
transit.,transitivo
transj.,transjordano
transm.,"transmontanismo, termo de Trás-os-Montes"
transm.,transmontano
transmont.,transmontano
transobj.,transobjetivo
transp.,transportes
trat.,tratado
trat.,tratamento
Trav.,travessa (toponimicamente)
trem.,"tremolo, com tremor, trêmulo"
trib.,tribunal
trib.,tributário
trib.,tributos
trig.,trigonometria
trigon.,trigonometria
trim.,trimestral
trim.,trimestre(s)
trimest.,trimestral
trit.,triticultura
triv.,trivial
trop.,tropical
tt,tomos
TT.,termos
Tu,túlio
tun.,tunisino
tunis.,tunisiano
tunis.,tunisino
tup.,tupi
tupi-guar.,tupi-guarani
tur.,turismo
turc.,turco
turism.,turismo
tv.,televisão
U,urânio
u. e c.,usos e costumes
u.e.,uso externo
u.i.,"ubi infra, lugar abaixo mencionado"
u.i.,uso interno
u.inf.,"ubi infra, lugar abaixo mencionado"
u.s.,"ubi supra, lugar acima mencionado"
u.sup.,"ubi supra, lugar acima mencionado"
ucr.,ucraíno
ucraín.,ucraíno
ucran.,ucraniano
ult.,"último (mense), no mês passado"
umb.,umbanda
un.,unidade
un.,uniforme
unif.,uniforme
univ.,universal
univ.,universidade
univers.,universidade
urb.,urbanismo
urb.,urbanista
urb.,urbano
urban.,urbanista
urol.,urologia
urug.,uruguaio
us.,usado(s)
us.,usa-se
usual.,usualmente
útil.,utilidade
útil.,utilitarismo
utilid.,utilidade
utilit.,utilitarismo
utop.,utopismo
utópi.,utópico
V,vanádio
v,vara(s) (medida)
v,vela(s) internacional
V,volt internacional
v,volt(s)
V,volt(s)
v. sup.,"uide (vide) supra, vê, veja acima"
v.,"uersus (versus), contra"
v.,"uersus (versus), verso (de poemas)"
V.,uide (vide)
v.,uide (vide)
V.,uidete (videte)
v.,uidete (videte)
v.,vapor
V.,vê
v.,vê
V.,vede
v.,vede
V.,veja
v.,veja
V.,vejam
v.,vejam
V.,veja-se
v.,veja-se
V.,velocidade
v.,ver
v.,verbal
v.,verbo(s)
v.,verso
V.,vila
v.,vila
V.,viola
V.,Virgem[desambiguação necessária]
V.,"visto(s), vista(s)"
V.,você
v.,você
V.a,vila
V.a,viúva
V.A.,Vossa Alteza
V.-Alm.,vice-almirante
v.-alm.,vice-almirante
V.Carid.e,Vossa Caridade
V.de,visconde
V.dessa,viscondessa
V.E.mas,Vossas Eminências
V.E.ma,Vossa Eminência
V.Ex.a Rev.ma,Vossa Excelência Reverendíssima
V.Ex.a,Vossa Excelência
V.Ex.as Rev.mas,Vossas Excelências Reverendíssimas
V.Ex.as,Vossas Excelências
V.Ex.ma,Vossa Excelentíssima
v.g.,"uerbi (verbi) gratia, por amor da palavra, por exemplo"
V.G.,Vossa Graça
V.G.,Vossa Grandeza
V.H.,Vossa Honra
v.i.,vela internacional
v.i./cm²,vela por centímetro quadrado
V.Il.ma,Vossa Ilustríssima
v.l.,"varia (uaria) lectio, lição vária"
V.M.,Vossa Majestade
V.M.as,Vossas Mercês
V.M.ce,Vossa Mercê
V.Mag.a,Vossa Magnificência
v.o,verso (lado posterior)
v.o,"verso, face par de um fólio"
v.or,venerador
V.P.,Vossa Paternidade
V.Rev.a,Vossa Reverência
V.Rev.as,Vossas Reverências
V.Rev.ma,Vossa Reverendíssima
V.Rev.mas,Vossas Reverendíssimas
v.s.,"uide (vide) supra, vê acima"
V.S.,Vossa Santidade
V.S.,Vossa Senhoria
V.S.a Il.ma,Vossa Senhoria Ilustríssima
V.S.a,Vossa Senhoria
V.S.as Il.mas,Vossas Senhorias Ilustríssimas
V.S.as,Vossas Senhorias
v.s.f.f.,"volte, se faz favor"
V.S.Ilma,Vossa Senhoria Ilustríssima
V.S.S.,valha sem selo
v/,"vosso(s), vossa(s) (comercialmente)"
v/c,vossa conta (comercialmente)
v/o,vossa ordem (comercialmente)
VA,"volt-ampere, volt-ampère"
va,valor agregado
va.,viola (cf. vla.)
vad.,vademeco
vadm.,vademeco
val.,valão
var. pros.,variante prosódica
var.,variação
var.,variante(s)
var.,variedade
vasc.,vasconço
vb.,verbo (no vocábulo)
vc,você
vc.,violoncelo (cf. vlc.)
VCD,"video comette recorder, gravador de videocassete"
veg. inf.,vegetais inferiores (salvo congumelos)
veg.,vegetal
vel.,velocidade
veloc.,velocipedia
ven.,venatório
ven.or,venerador
venat.,venatório
venez.,veneziano
venez.,venezuelano
venezuel.,venezuelano
verb.,verbal
verb.,verbete
verb.,verbo
verbal.,verbalismo
vern.,vernaculismo
vern.,vernáculo
veros.,verossimilhança
veross.,verossimilhança
vers.,versificação
versif.,versificação
vet.,veterinária
vet.,veterinário
veter.,veterinária
VHF,"very high frequency, frequência muito alta"
VHS,"video home system, sistema doméstico de vídeo"
Vi,virgínio
vid.,"uide (vide), vê"
vid.,"uidete (videte), vede"
Vid.,"vide (veja), vê"
vid.,"vide (veja), vê"
vidr.,"vidraria, fábrica de vidros"
Vig.,Vigário
vig.,vigário
Vig.o,vigário
vig.o,vigário
vin.,vinicultura
vin.,vinificação
vinic.,vinicultura
viol.,violino (cf. vn.)
VIP,"very important person, pessoa muito importante"
vit.,viticultura
vitic.,viticultura
vitr.,vitral
viz.,"uidelicet (videlicet), convém ver, veja-se"
viz.,"uidelicet (videlicet), nomeadamente (introduzindo enumeração finita de itens)"
vl.,violino (cf. vn.)
vla.,viola (cf. va.)
vlc.,"violoncello, violoncelo"
vln.,violino (cf. vn.)
vm.ce,"vosmecê, vossemecê"
vm.ces,"vosmecês, vossemecês"
vn.,"violino (cf. viol., vl., vln.)"
vo.,"verso, face par de um fólio"
voc. pop.,"uoce (voce) populi, na voz do povo"
voc.,vocabulário
voc.,vocábulo
voc.,vocalismo
voc.,vocativo
vog.,vogal
vol.,esp.  —  volume específico
vol.,"uolumen (volumen), volume"
vol.,volume
volat.,volataria
voll.,"uolumina (volumina), volumes"
vols.,volumes
vox. pop.,"uox (vox) populi, a voz do povo"
vs.,"uersus (versus), contra"
vulc.,vulcânico
vulg.,vulgar
vulg.,vulgarmente
VV. S.as Il.mas,Vossas Senhorias Ilustríssimas
vv.,"uersi (versi), versos (de poemas)"
VV.AA.,Vossas Altezas
VV.Carid.es,Vossas Caridades
VV.Ex.as,Vossas Excelências
VV.Ex.mas,Vossas Excelentíssimas
VV.GG.,Vossas Graças
VV.HH.,Vossas Honras
VV.Il.mas,Vossas Ilustríssimas
VV.LL.,"uariae (variae) lectiones, lições várias"
VV.M.ces,Vossas Mercês
VV.Mag.as,Vossas Magnificências
VV.MM.,Vossas Majestades
VV.PP.,Vossas Paternidades
VV.Rev.as,Vossas Reverências
VV.Rev.mas,Vossas Reverendíssimas
VV.S.as,Vossas Senhorias
VV.SS.,Vossas Senhorias
VV.SS.Il.mas,Vossas Senhorias Ilustríssimas
W,Oeste
w,watt
W,watt internacional
W,"Wolfram, volfrâmio tungstênio"
W.,Oeste
W.C.,"water-closet, toalete"
W.N.W,Oés-Noroeste
Wh,watt(s)-hora
wh,watt-hora
Wh,watt-hora internacional
WNW,Oés-Noroeste
WOW,World of Warcraft
Ws,watt(s)-segundo
ws,watt-segundo
Ws,watt-segundo internacional
WSW,Oés-Sudoeste
WSW,Oés-Sudoeste
WWW,"world wide web, rede de extensão mundial"
x,incógnita (em matemática)
X.,abreviatura com que se encobre um nome
X.,indicação de autor anônimo
X.P.T.O.,"Cristo; especial, sofisticado; genérico"
X.Y.Z.,abreviatura com que se encobre um nome
Xe,xênio
Xe,xenônio
xenof.,xenofobia
xerog.,xerografia
xerogr.,xerografia
xilog.,xilogravura
xin.,—  xintoísta
y,segunda incógnita (em matemática)
Y,"yttrium, ítrio"
Yb,"ytterbium, itérbio"
yd,"yard(s), jarda(s)"
yd.p.sec.,"yard(s) per second, jarda(s) por segundo"
yyh,yu yu hakusho (Anime)
z,terceira incógnita (em matemática)
Z.,abreviatura com que se encobre um nome
zend.,zenda
zend.,zende
Zn,zinco
zo.,zoologia
zoo.,zoológico
zool.,zoologia
zoot.,zootecnia
zootec.,zootecnia
zootéc.,zootécnica
Zr,zircônio
